,Next Day Close,Predicted Next Close,Current Day Close,Next Day Open,Signal,PnL
297,6.39,6.213863608495813,7.15,7.1,1,-10.0
298,6.68,6.409981455314919,6.45,6.01,1,11.148086522462561
299,7.04,6.78889110991011,6.03,6.2,1,13.548387096774192
300,7.25,7.1428964008330516,6.35,6.38,1,13.636363636363638
301,7.0,7.290917360990789,6.77,6.71,1,4.321907600596125
302,7.27,7.065079153874904,7.1,6.98,1,4.154727793696263
303,7.54,7.472172717050198,6.85,6.82,1,10.557184750733134
304,8.29,7.630719690128244,7.03,7.1,1,16.760563380281685
305,8.41,8.46574008783071,6.33,6.12,0,0.0
306,7.57,8.468020085488462,5.82,5.93,0,0.0
307,8.04,7.5429363673131595,6.34,6.38,0,0.0
308,8.84,8.121434278709131,6.15,6.21,0,0.0
309,8.86,8.755986329585795,6.3,6.2,0,0.0
310,8.68,8.861773796768176,6.49,6.53,0,0.0
311,8.54,9.010703542483753,6.54,6.41,0,0.0
312,8.93,8.65690362806643,6.63,6.56,0,0.0
313,8.7,8.938740212538761,6.74,6.66,0,0.0
314,8.1,8.396010801351878,6.3,6.3,0,0.0
315,8.09,8.176532195949477,6.27,6.12,0,0.0
316,8.6,8.47784501609138,6.09,6.14,0,0.0
317,8.62,8.519634185398246,6.17,6.37,0,0.0
318,8.78,8.412055268340993,6.39,6.38,0,0.0
319,8.83,8.778001413487146,6.68,6.84,0,0.0
320,8.79,9.072577290218106,7.04,6.98,0,0.0
321,9.17,8.870298661243652,7.25,7.14,0,0.0
322,8.89,9.000318300338478,7.0,6.95,0,0.0
323,9.18,8.801626456416926,7.27,7.34,0,0.0
324,9.93,9.35373389791792,7.54,7.6,0,0.0
325,9.7,10.0876915362999,8.29,8.6,0,0.0
326,9.61,9.471116082985901,8.41,8.24,0,0.0
327,9.63,9.555553949157257,7.57,7.5,0,0.0
328,9.57,9.565946021156634,8.04,8.06,0,0.0
329,9.75,9.55455381089567,8.84,9.01,1,8.21309655937847
330,9.71,9.74369262389817,8.86,8.65,0,0.0
331,9.83,9.627390682154584,8.68,8.55,0,0.0
332,10.3,10.007489477178098,8.54,8.65,0,0.0
333,9.28,10.29070362248902,8.93,8.88,0,0.0
334,9.07,9.028839200279691,8.7,8.31,1,9.145607701564378
335,9.14,9.080925431520228,8.1,8.15,1,12.147239263803684
336,8.9,9.108977897830556,8.09,8.11,1,9.741060419235524
337,9.1,8.790104212831721,8.6,8.54,1,6.557377049180333
338,10.01,9.15087574465295,8.62,8.55,1,17.076023391812853
339,10.75,10.03844832778421,8.78,8.64,0,0.0
340,10.06,10.881484753928163,8.83,8.68,0,0.0
341,9.95,9.88570294047102,8.79,8.8,0,0.0
342,9.72,9.8567303193079,9.17,9.1,1,6.813186813186825
343,9.67,9.770647696171437,8.89,8.76,0,0.0
344,9.76,9.400053292901504,9.18,8.9,1,9.6629213483146
345,9.94,9.821735793880435,9.93,9.81,1,1.3251783893985627
346,9.87,9.902358697068195,9.7,9.86,1,0.10141987829614389
347,10.18,9.865079417805902,9.61,9.6,1,6.041666666666668
348,10.04,9.957362451950104,9.63,9.63,1,4.25752855659396
349,10.23,9.80139509019071,9.57,9.57,1,6.896551724137932
350,10.51,10.375242840072389,9.75,9.68,1,8.574380165289258
